Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
eda65c1cafbf520bb729b8ffef4ffb5c705ef67ca8620f418401a456a05e634a,2019-12,Cleveland Police,Cleveland Police,-1.245419,54.711594,On or near Marley Way,E01033465,Hartlepool 001F,Burglary,Investigation complete; no suspect identified,
66ffe199443fca8bad353849011ac2d5e425f696b0d91ab71364c2adbb4c503c,2019-12,Cleveland Police,Cleveland Police,-1.23444,54.703581,On or near Dean Fall Close,E01033467,Hartlepool 001G,Burglary,Investigation complete; no suspect identified,
2cae836b934bdb4c115cd454f298a8b479dbb45b81d67ad231c009d8f53f33a5,2019-12,Cleveland Police,Cleveland Police,-1.227657,54.7037,On or near Warren Road,E01011952,Hartlepool 002A,Burglary,Investigation complete; no suspect identified,
070973e6d07f55dc767d69a13c812463f548c6013a2e82f948887648294db762,2019-12,Cleveland Police,Cleveland Police,-1.22968,54.706678,On or near Annandale Crescent,E01011953,Hartlepool 002B,Burglary,Court result unavailable,
df296576532fa571f5fc2e01fefa59ff7db9f8bab3826d71df58a853e492667d,2019-12,Cleveland Police,Cleveland Police,-1.229238,54.711142,On or near Dowson Road,E01011953,Hartlepool 002B,Burglary,Investigation complete; no suspect identified,
ea86e5d8f13a482836b1e743800316f40701171fab6561570023428e4ea76279,2019-12,Cleveland Police,Cleveland Police,-1.229191,54.709542,On or near Gilberti Place,E01011953,Hartlepool 002B,Burglary,Investigation complete; no suspect identified,
aece2c177364155dc7f18c36cf2c166193565b49702a501c55022a4feb810fd6,2019-12,Cleveland Police,Cleveland Police,-1.226654,54.706632,On or near Ellett Court,E01011953,Hartlepool 002B,Burglary,Investigation complete; no suspect identified,
fb2cc494a67d05f6a15ace1632340605776941803dda4cb1edb8e92d05e42d49,2019-12,Cleveland Police,Cleveland Police,-1.22968,54.706678,On or near Annandale Crescent,E01011953,Hartlepool 002B,Burglary,Court result unavailable,
7d485783502b4b83721628772cca23c98700c26f25a0d626bcdaec20b0346400,2019-12,Cleveland Police,Cleveland Police,-1.180177,54.696423,On or near Friar Street,E01011991,Hartlepool 002C,Burglary,Investigation complete; no suspect identified,
e870e860d286c76a9a6182c7cd126414d5bdbff7bcd605e8a90824ec5b853cd1,2019-12,Cleveland Police,Cleveland Police,-1.221316,54.708233,On or near Wingfield Drive,E01011992,Hartlepool 002D,Burglary,Investigation complete; no suspect identified,
9ac634a2a2fa14d7638f0eb8975aa375317fafe59502fc2dbd1815ed5d57cec0,2019-12,Cleveland Police,Cleveland Police,-1.220784,54.706837,On or near Miers Avenue,E01011992,Hartlepool 002D,Burglary,Investigation complete; no suspect identified,
862e9c8a5937aae380346f43f626455a5fa223a11d5477dbe8c0a39aedbfd2ed,2019-12,Cleveland Police,Cleveland Police,-1.207199,54.704709,On or near Heortnesse Road,E01011994,Hartlepool 002F,Burglary,Investigation complete; no suspect identified,
b69a6d0a9b9272b68b85e35a032ca80e9e8526fe2850c4d9e65302fc60885404,2019-12,Cleveland Police,Cleveland Police,-1.205953,54.701753,On or near Arch Court,E01011994,Hartlepool 002F,Burglary,Investigation complete; no suspect identified,
7da013dd45c8526896ceeec0462a3c71aba8b7577bb1ad9cad216c0d233058db,2019-12,Cleveland Police,Cleveland Police,-1.215856,54.696003,On or near Milbank Road,E01011955,Hartlepool 003A,Burglary,Investigation complete; no suspect identified,
099fb4cf4afca271f20c864b6d8a8092e54955826de3c08f8845de41bbfdf676,2019-12,Cleveland Police,Cleveland Police,-1.241303,54.693442,On or near Padstow Close,E01032541,Hartlepool 003H,Burglary,Investigation complete; no suspect identified,
cc2ab19808fceb17f2a1f9e32269c70d260b88fc54ac6586dfcbf9442955a875,2019-12,Cleveland Police,Cleveland Police,-1.237356,54.69623,On or near Glastonbury Walk,E01032541,Hartlepool 003H,Burglary,Investigation complete; no suspect identified,
26759ff244985d476813b576a03aa7443f43b9756c18a34dad05318f7295dce6,2019-12,Cleveland Police,Cleveland Police,-1.237356,54.69623,On or near Glastonbury Walk,E01032541,Hartlepool 003H,Burglary,Investigation complete; no suspect identified,
a7920902d2011da0c1546f17cbc8b8394fd02a1717799c3c7b8a6ca8ac5ae8a8,2019-12,Cleveland Police,Cleveland Police,-1.239381,54.698292,On or near Anglesey Grove,E01032541,Hartlepool 003H,Burglary,Investigation complete; no suspect identified,
4e1c319d0777e01f170a36bfc099746fefc1c29f98e06e7e6ab1675f97242404,2019-12,Cleveland Police,Cleveland Police,-1.237356,54.69623,On or near Glastonbury Walk,E01032541,Hartlepool 003H,Burglary,Investigation complete; no suspect identified,
d2d071d3c4a999643abc51bfc5106704393828563650e84b678e6f469fe71368,2019-12,Cleveland Police,Cleveland Police,-1.234619,54.699053,On or near Cardigan Grove,E01032541,Hartlepool 003H,Burglary,Investigation complete; no suspect identified,
32d685c9082f45ac240a37f50b4191d66bea14440daa6d29db4d9c0b39cb54cb,2019-12,Cleveland Police,Cleveland Police,-1.22421,54.696479,On or near Challoner Road,E01033466,Hartlepool 003I,Burglary,Investigation complete; no suspect identified,
8a52566d17db604b0a18a5cd36237d3b7d726213cc068f4d9bbc76d4efad91c9,2019-12,Cleveland Police,Cleveland Police,-1.225302,54.699434,On or near Easington Road,E01033466,Hartlepool 003I,Burglary,Unable to prosecute suspect,
ba2709e31948b8ca3745e19f1924bc86cb2f4df7d30d577c9c171a121201f010,2019-12,Cleveland Police,Cleveland Police,-1.219467,54.6873,On or near Bentick Street,E01011973,Hartlepool 005A,Burglary,Investigation complete; no suspect identified,
dcd6088f0c42558720fad825ba4d7c13e3804115c43ebdb3fa465bd4121fe1bb,2019-12,Cleveland Police,Cleveland Police,-1.216018,54.686757,On or near Errol Street,E01011974,Hartlepool 005B,Burglary,Investigation complete; no suspect identified,
5ec2693ae75aeee4245160f385a860e982d010b05a5bd881b53e650ba7e8b056,2019-12,Cleveland Police,Cleveland Police,-1.213789,54.691343,On or near Middleton Road,E01011974,Hartlepool 005B,Burglary,Investigation complete; no suspect identified,
ab3fc911a2c8a7cdc5d8dc0db6b41b130b170ea5c1543cdfe88fb4fcfad2995a,2019-12,Cleveland Police,Cleveland Police,-1.20116,54.68825,On or near Admiral Way,E01011974,Hartlepool 005B,Burglary,Investigation complete; no suspect identified,
a7b82780260a9662694891d90c3df08b87a988e61d9f19e089a59208c987b387,2019-12,Cleveland Police,Cleveland Police,-1.216334,54.690524,On or near Furness Street,E01011974,Hartlepool 005B,Burglary,Investigation complete; no suspect identified,
827dd5e7d52d1588c68369fa860ccb69018e91fe66f2c2b84a72aba8921cbe62,2019-12,Cleveland Police,Cleveland Police,-1.198733,54.69173,On or near Navigation Point,E01011974,Hartlepool 005B,Burglary,Court result unavailable,
d0545a10ea15845fb7eaa3d25ae4127f806bfa4b07fce644859eb912da99bdb5,2019-12,Cleveland Police,Cleveland Police,-1.216707,54.687255,On or near York Road,E01011974,Hartlepool 005B,Burglary,Unable to prosecute suspect,
b5164124bddbb129f6ec9f34df8f88ec0324d69057deaa590dcc434e777699b9,2019-12,Cleveland Police,Cleveland Police,-1.226181,54.68826,On or near Raeburn Street,E01011975,Hartlepool 005C,Burglary,Unable to prosecute suspect,
53291e2a2df5a0c9dec3896e5c6323bfae57e5ad43a8c248b95e0fd948a69069,2019-12,Cleveland Police,Cleveland Police,-1.228488,54.689317,On or near Suggitt Street,E01011975,Hartlepool 005C,Burglary,Investigation complete; no suspect identified,
fe75955d8779aae4a13b4f94186d8296d630eb1cf07fe262144886ec692b7e2d,2019-12,Cleveland Police,Cleveland Police,-1.228482,54.689658,On or near Stephen Street,E01011975,Hartlepool 005C,Burglary,Investigation complete; no suspect identified,
36d7ded85f3a82e3b25e50e1678a08cab3ce24f3a8509af007a3b99051f49167,2019-12,Cleveland Police,Cleveland Police,-1.226181,54.68826,On or near Raeburn Street,E01011975,Hartlepool 005C,Burglary,Investigation complete; no suspect identified,
933562f9bc7886c570ac2ece2fdeb97b214b4a5487790d1c1bd965e9b851dfd1,2019-12,Cleveland Police,Cleveland Police,-1.226181,54.68826,On or near Raeburn Street,E01011975,Hartlepool 005C,Burglary,Investigation complete; no suspect identified,
43c195212d4a4f3226606eed5ad6a3148bab74e27627f0a2af180e6088be7bc4,2019-12,Cleveland Police,Cleveland Police,-1.226695,54.688991,On or near Duke Street,E01011976,Hartlepool 005D,Burglary,Investigation complete; no suspect identified,
5dd169eef6af8b1430d92284a5b7a7a4fb93d45bb1caf27f6f755aa58d441aae,2019-12,Cleveland Police,Cleveland Police,-1.231121,54.684634,On or near The Oval,E01011965,Hartlepool 006A,Burglary,Investigation complete; no suspect identified,
8decd68d169bc33f0264a3484e2bc6d6e1081ca8d2344e2169ce2e6fa86738be,2019-12,Cleveland Police,Cleveland Police,-1.231121,54.684634,On or near The Oval,E01011965,Hartlepool 006A,Burglary,Investigation complete; no suspect identified,
79f5a59d0497241970492351f576a1f2b9902727084203fa6b875af0c63bf4ca,2019-12,Cleveland Police,Cleveland Police,-1.230727,54.685754,On or near Grange Avenue,E01011965,Hartlepool 006A,Burglary,Investigation complete; no suspect identified,
a54a9f60d3e2fbc2b4b33534dbaddbadb991038b806d4596657be46cabb8392e,2019-12,Cleveland Police,Cleveland Police,-1.234773,54.685906,On or near Wooler Road,E01011966,Hartlepool 006B,Burglary,Investigation complete; no suspect identified,
8cc3b93109b9c8d8fe4ab40b458016da1e2c220226000d1f10d6577562d9868f,2019-12,Cleveland Police,Cleveland Police,-1.236389,54.689888,On or near Greenbank Court,E01011983,Hartlepool 006C,Burglary,Investigation complete; no suspect identified,
df137f4c8bece2ad5aa9f430225fd4156ff6a5b48059898444d02e2d087a2398,2019-12,Cleveland Police,Cleveland Police,-1.239131,54.685142,On or near Park Avenue,E01011983,Hartlepool 006C,Burglary,Investigation complete; no suspect identified,
f4fe5fcde6a2beb23d8177705abc2709d03962921968e13a340c5697fd722939,2019-12,Cleveland Police,Cleveland Police,-1.23679,54.682557,On or near Briarfields,E01011983,Hartlepool 006C,Burglary,Investigation complete; no suspect identified,
fdefbf6a3591593994fb17b49750bcd2e7230a11c4a1a9b9074dc76a7493ee81,2019-12,Cleveland Police,Cleveland Police,-1.24197,54.689267,On or near The Crest,E01011983,Hartlepool 006C,Burglary,Investigation complete; no suspect identified,
94531be5173c2ee01f4e8692c5b4589cfc104b3aab102fe14b3b60727a333225,2019-12,Cleveland Police,Cleveland Police,-1.241567,54.690936,On or near Fellston Close,E01011983,Hartlepool 006C,Burglary,Investigation complete; no suspect identified,
d06c59bc910496d2a6796e1bfbf1395372edd48350bfa1df5496bde4119e2ac2,2019-12,Cleveland Police,Cleveland Police,-1.239131,54.685142,On or near Park Avenue,E01011983,Hartlepool 006C,Burglary,Investigation complete; no suspect identified,
686869ac75f41c8aad2cc679f77e19ecc9feb243432103033de58496983fc72f,2019-12,Cleveland Police,Cleveland Police,-1.226896,54.678388,On or near Sports/Recreation Area,E01011951,Hartlepool 007A,Burglary,Investigation complete; no suspect identified,
43cb813d5e6f8044f29392af20577bdedbe4997b7bb8cb3d101c48063634013a,2019-12,Cleveland Police,Cleveland Police,-1.223242,54.677277,On or near Brinkburn Road,E01011951,Hartlepool 007A,Burglary,Investigation complete; no suspect identified,
02c27c9561c9efe01314358e485a2838e649cf9a566189fd5525c8513e4b99ab,2019-12,Cleveland Police,Cleveland Police,-1.226721,54.68599,On or near Mulgrave Road,E01011964,Hartlepool 007B,Burglary,Unable to prosecute suspect,
fb4acc98bcd09e9ff0b5026d9575202a112d2255aa3f51d2975396d63c5bd3cc,2019-12,Cleveland Police,Cleveland Police,-1.224857,54.686112,On or near Thornville Road,E01011964,Hartlepool 007B,Burglary,Unable to prosecute suspect,
