Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
16b80cd5a986ddf09f583675dd1d0ff7664ac882edab6b91ce19524d5f786366,2019-10,Cleveland Police,Cleveland Police,-1.238644,54.709494,On or near Whin Meadows,E01011954,Hartlepool 001A,Burglary,Investigation complete; no suspect identified,
44ba4c9b1d2ad27e82e9726f341a6aac846d242298d8f4ddfab0acd7db8c9948,2019-10,Cleveland Police,Cleveland Police,-1.242926,54.712891,On or near Sports/Recreation Area,E01011954,Hartlepool 001A,Burglary,Investigation complete; no suspect identified,
05ffedee3bede550cf728bf0d3b1c2bb7a60f067446467e37c5d83c3725cad3f,2019-10,Cleveland Police,Cleveland Police,-1.242467,54.705905,On or near Evergreen Close,E01033465,Hartlepool 001F,Burglary,Investigation complete; no suspect identified,
968bb6e6248b143d8cbf6b252d89550cbd71d824b23f93886fe0b333567dacf2,2019-10,Cleveland Police,Cleveland Police,-1.224269,54.706392,On or near Bruce Crescent,E01011952,Hartlepool 002A,Burglary,Unable to prosecute suspect,
ed21fe1a94f0eee2250f3e411ca5ef939360c702be15845d9c167d428d02f87a,2019-10,Cleveland Police,Cleveland Police,-1.227875,54.706119,On or near Davison Drive,E01011953,Hartlepool 002B,Burglary,Investigation complete; no suspect identified,
4f815b1e24bcbe43bc32a6af3d60158dd11056cbc7d711b52be51b57ef302de3,2019-10,Cleveland Police,Cleveland Police,-1.219966,54.705771,On or near Garside Drive,E01011992,Hartlepool 002D,Burglary,Investigation complete; no suspect identified,
9051c28d1f179c5833a8f33f7db6b0c18d7fde7d9b6d1985b3cff2424988d30a,2019-10,Cleveland Police,Cleveland Police,-1.186062,54.696166,On or near Friendship Lane,E01011993,Hartlepool 002E,Burglary,Investigation complete; no suspect identified,
80088456da6139a23404835ab12a9b061b7ef77888ede73131e0e86c37046f97,2019-10,Cleveland Police,Cleveland Police,-1.209174,54.702925,On or near Clearpool Close,E01011994,Hartlepool 002F,Burglary,Investigation complete; no suspect identified,
f2e26501416857c2d2c06cc82896b1586badf79ac58fef9785c61aa2bed527f8,2019-10,Cleveland Police,Cleveland Police,-1.216556,54.698299,On or near Powlett Road,E01011955,Hartlepool 003A,Burglary,Investigation complete; no suspect identified,
831c6d6ec33285dac51f8a0ebb89f7a208d4b057a33836fde90434a1058141a4,2019-10,Cleveland Police,Cleveland Police,-1.216769,54.692109,On or near Grainger Street,E01011955,Hartlepool 003A,Burglary,Investigation complete; no suspect identified,
1ba851e491a866ae360f8012cd8a1e766d8076b3e114ef56f4c75616d306e75c,2019-10,Cleveland Police,Cleveland Police,-1.215574,54.697736,On or near Appleby Grove,E01011955,Hartlepool 003A,Burglary,Investigation complete; no suspect identified,
15d463fb87cd4d94189727018d2f5f6a090c5014ab9d82b92419cbd997714e4b,2019-10,Cleveland Police,Cleveland Police,-1.215731,54.694448,On or near Wharton Terrace,E01011955,Hartlepool 003A,Burglary,Unable to prosecute suspect,
b7b39d8d8ba47165019db9a9c960b17e905bbf38fe480f5145f114e73ea40083,2019-10,Cleveland Police,Cleveland Police,-1.223978,54.695615,On or near Chatham Gardens,E01011957,Hartlepool 003C,Burglary,Investigation complete; no suspect identified,
590c634d622efb47fd1361a389b1be199444ed13ffeaec8bc815037c07e302af,2019-10,Cleveland Police,Cleveland Police,-1.22322,54.693049,On or near Chester Road,E01011957,Hartlepool 003C,Burglary,Investigation complete; no suspect identified,
6e4d3b31a3f25e933b745e3f7dc08ea8221505ad445b526c77e1c64ab69115ed,2019-10,Cleveland Police,Cleveland Police,-1.223874,54.69539,On or near Raby Gardens,E01011957,Hartlepool 003C,Burglary,Investigation complete; no suspect identified,
8dc881ed9eb0917625bcbf78708b99681cc3f2fb5241201a3e05b017c27327a0,2019-10,Cleveland Police,Cleveland Police,-1.2286,54.699796,On or near Jesmond Gardens,E01032540,Hartlepool 003G,Burglary,Investigation complete; no suspect identified,
9a407ea2e77bfe828a3c0eaa5632289fadcc78b6a21933afab2b3195da1a7d96,2019-10,Cleveland Police,Cleveland Police,-1.232338,54.695731,On or near Sports/Recreation Area,E01032541,Hartlepool 003H,Burglary,Investigation complete; no suspect identified,
ef6d1b108a14b8d2fd660f922bff5360bc701306a4582fca203543338ba722ed,2019-10,Cleveland Police,Cleveland Police,-1.235906,54.694127,On or near Elmwood Place,E01032541,Hartlepool 003H,Burglary,Investigation complete; no suspect identified,
756a3c85707231c50c32cfa562cc25d15e435edfa1a1f1a669b89cb064c32e57,2019-10,Cleveland Police,Cleveland Police,-1.232338,54.695731,On or near Sports/Recreation Area,E01032541,Hartlepool 003H,Burglary,Investigation complete; no suspect identified,
4c579d0bf93c66e67ee4cec32352fa282bdf081c4e9999625603210f493289b3,2019-10,Cleveland Police,Cleveland Police,-1.232338,54.695731,On or near Sports/Recreation Area,E01032541,Hartlepool 003H,Burglary,Investigation complete; no suspect identified,
ee596a56d61df5c7dbfd3dda73c829a9aec802c2c85dcce7abdef32f1c6b053f,2019-10,Cleveland Police,Cleveland Police,-1.234619,54.699053,On or near Cardigan Grove,E01032541,Hartlepool 003H,Burglary,Investigation complete; no suspect identified,
4de1edc12c7cd4c4b4154734708843b3009fbba0d04c5297a1ad978e0c7d731f,2019-10,Cleveland Police,Cleveland Police,-1.232338,54.695731,On or near Sports/Recreation Area,E01032541,Hartlepool 003H,Burglary,Investigation complete; no suspect identified,
25b437de706d6dab6b978cbff6785f62b140d0c1baef9a1cb20d8ed7b5450d82,2019-10,Cleveland Police,Cleveland Police,-1.221666,54.69888,On or near A179,E01033466,Hartlepool 003I,Burglary,Investigation complete; no suspect identified,
dec5e67d5c289a2f65cdfb4ca77434dc22a2834afee0dfddae6d12faa1ede61e,2019-10,Cleveland Police,Cleveland Police,-1.217829,54.695063,On or near Avondale Gardens,E01033466,Hartlepool 003I,Burglary,Investigation complete; no suspect identified,
d9bb322f993cfe260160fdacdf74d9031bb07dc70fa38342780081f72e06edf9,2019-10,Cleveland Police,Cleveland Police,-1.218147,54.693861,On or near St Oswald'S Street,E01033466,Hartlepool 003I,Burglary,Investigation complete; no suspect identified,
6f013b62bed6720ccc1f7fda1f6e6bf4b71243fdb6f45f7f2ea773dd14a132c6,2019-10,Cleveland Police,Cleveland Police,-1.221666,54.69888,On or near A179,E01033466,Hartlepool 003I,Burglary,Investigation complete; no suspect identified,
105e221d149206d1367bb015e994bb746379fba77d37d1137618dffe07dcb997,2019-10,Cleveland Police,Cleveland Police,-1.217829,54.695063,On or near Avondale Gardens,E01033466,Hartlepool 003I,Burglary,Investigation complete; no suspect identified,
fbe9d2ab648a0fa2625286c546bc6d863bc535a61da4f0bdab5e0e9b73fabbd3,2019-10,Cleveland Police,Cleveland Police,-1.217669,54.694487,On or near Mapleton Road,E01033466,Hartlepool 003I,Burglary,Investigation complete; no suspect identified,
38de78db7740c1a585d6043ad0124e7eae7697b70f423ffcb699feb218280a57,2019-10,Cleveland Police,Cleveland Police,-1.217619,54.694684,On or near Parton Street,E01033466,Hartlepool 003I,Burglary,Unable to prosecute suspect,
9ed0d085f9d15e1f01b846149bf23451eca13d5a6e8073673ab9bd7e6013d754,2019-10,Cleveland Police,Cleveland Police,-1.216248,54.690164,On or near Cameron Road,E01011973,Hartlepool 005A,Burglary,Investigation complete; no suspect identified,
b5e17f9b4ec70f5ef22d3afc2cbf94e6349a2775ec8e0ebf9efc9f5679462c11,2019-10,Cleveland Police,Cleveland Police,-1.215708,54.688372,On or near Raby Road,E01011974,Hartlepool 005B,Burglary,Investigation complete; no suspect identified,
62f0a2667c787e3e4b2d28f3b681c42e153492a2f69731e309253a984fb5c482,2019-10,Cleveland Police,Cleveland Police,-1.216018,54.686757,On or near Errol Street,E01011974,Hartlepool 005B,Burglary,Court result unavailable,
d16dde6663e9cc5ee4d20513257d5a49ddee59be77a8bd9583202f53813fd065,2019-10,Cleveland Police,Cleveland Police,-1.216334,54.690524,On or near Furness Street,E01011974,Hartlepool 005B,Burglary,Unable to prosecute suspect,
e02cd6785bf03d00fba42b7dc1e0f822975c39d833875f1b2e9d6d7fef76bb7f,2019-10,Cleveland Police,Cleveland Police,-1.216018,54.686757,On or near Errol Street,E01011974,Hartlepool 005B,Burglary,Court result unavailable,
fe0677c6ba52f19460bfe014f2abfb2ba1583e3204454d7159f3cf742ec1af90,2019-10,Cleveland Police,Cleveland Police,-1.229506,54.688838,On or near Zetland Road,E01011975,Hartlepool 005C,Burglary,Investigation complete; no suspect identified,
6902fa9a37e7cc1c39b321b2b5ffcf32140331c587651703eb2b986e4faaab3b,2019-10,Cleveland Police,Cleveland Police,-1.228482,54.689658,On or near Stephen Street,E01011975,Hartlepool 005C,Burglary,Investigation complete; no suspect identified,
675937275efef3e8c60a95f5c33514f95b8da147baa4096a12c2a9499ccd6758,2019-10,Cleveland Police,Cleveland Police,-1.228482,54.689658,On or near Stephen Street,E01011975,Hartlepool 005C,Burglary,Investigation complete; no suspect identified,
0532671e3a88770709e62e09a77038aa4e7c09679569bca8a4e68e354d066ea7,2019-10,Cleveland Police,Cleveland Police,-1.232698,54.680788,On or near Queensberry Avenue,E01011965,Hartlepool 006A,Burglary,Investigation complete; no suspect identified,
1e8fec145bf3b7aca83576498fe7a529b720c297836441231637d62cd323515c,2019-10,Cleveland Police,Cleveland Police,-1.232698,54.680788,On or near Queensberry Avenue,E01011965,Hartlepool 006A,Burglary,Investigation complete; no suspect identified,
fa9adac38bf5be8b64b618ae3f98dc2acd5d77ebcf5ddf4d44117bebf257e5bd,2019-10,Cleveland Police,Cleveland Police,-1.245447,54.687465,On or near Woodlands Grove,E01011983,Hartlepool 006C,Burglary,Investigation complete; no suspect identified,
73533356a1fac7c4ed310a6d1664c1ea5a1f36767e53911afda579cd5c163337,2019-10,Cleveland Police,Cleveland Police,-1.230383,54.692501,On or near Chester Road,E01012002,Hartlepool 006D,Burglary,Investigation complete; no suspect identified,
a5e65b58970d33c011ad9aa6e3ce38a8a128f2158ebb88f9f74f018681790980,2019-10,Cleveland Police,Cleveland Police,-1.230383,54.692501,On or near Chester Road,E01012002,Hartlepool 006D,Burglary,Investigation complete; no suspect identified,
19f4513250a04448e29829b55ebddee6c21f449d26693730e07c9e9bc2043260,2019-10,Cleveland Police,Cleveland Police,-1.230383,54.692501,On or near Chester Road,E01012002,Hartlepool 006D,Burglary,Investigation complete; no suspect identified,
