Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
62b6ea217d109ecfa32c6756258e12b91e3dd50938513ee1050e3ded6a26a515,2019-08,Cleveland Police,Cleveland Police,-1.240254,54.714716,On or near Hirdman Grove,E01011969,Hartlepool 001B,Burglary,Investigation complete; no suspect identified,
23a5eaa0638f065be725140e85ad1f2d9377f7f58ec787d8aba81ca916c9b83b,2019-08,Cleveland Police,Cleveland Police,-1.235179,54.705545,On or near Easington Road,E01033467,Hartlepool 001G,Burglary,Investigation complete; no suspect identified,
a68697dd231b389d2a1e684a94911ca9af34bf6ea8c272d8f2d1d77d1f455d3f,2019-08,Cleveland Police,Cleveland Police,-1.235179,54.705545,On or near Easington Road,E01033467,Hartlepool 001G,Burglary,Investigation complete; no suspect identified,
a8d228a784da1ae9bf986de0e9ca19c9a2b23d8c593f99a460219767b5634f40,2019-08,Cleveland Police,Cleveland Police,-1.229752,54.70862,On or near West View Road,E01011953,Hartlepool 002B,Burglary,Unable to prosecute suspect,
9ff48e6cdf6bf0917ceb0c4e9a431464c38977cd13c1e600db59fdcb28d0e6e8,2019-08,Cleveland Police,Cleveland Police,-1.229752,54.70862,On or near West View Road,E01011953,Hartlepool 002B,Burglary,Investigation complete; no suspect identified,
9b2bc3ee47940ae3b32828f7f99f2e1a74f7466ea972f428dff4cd2b9d9940ca,2019-08,Cleveland Police,Cleveland Police,-1.229851,54.710759,On or near Nesbyt Road,E01011953,Hartlepool 002B,Burglary,Investigation complete; no suspect identified,
86706a304be5284d90d8fa27309165a220dec4071456293f5005895f3833aac3,2019-08,Cleveland Police,Cleveland Police,-1.227875,54.706119,On or near Davison Drive,E01011953,Hartlepool 002B,Burglary,Investigation complete; no suspect identified,
b1a5f67f79457ada715426879beea67ee972e7eda379537bdcd2ff3c2e61e069,2019-08,Cleveland Police,Cleveland Police,-1.217784,54.701408,On or near Oakesway,E01011992,Hartlepool 002D,Burglary,Unable to prosecute suspect,
18a0167bcd74b27ae723dcb55f65302be32da1e1733bf924c4be6a01ab8cbc36,2019-08,Cleveland Police,Cleveland Police,-1.221749,54.70749,On or near Bruce Crescent,E01011992,Hartlepool 002D,Burglary,Unable to prosecute suspect,
5aafd9b8224146f2ea5e5e7e6a3e6f46b4e7d8acde212a7f073c78731384f764,2019-08,Cleveland Police,Cleveland Police,-1.212397,54.697535,On or near Lancaster Road,E01011992,Hartlepool 002D,Burglary,Investigation complete; no suspect identified,
