Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
db234abe4e5fc42b750dd0739e07e616af8d6cf74281d8c99aed6f18fcfd128b,2019-02,Cleveland Police,Cleveland Police,-1.131184,54.497575,On or near Newton Road,E01027598,Hambleton 002A,Burglary,Investigation complete; no suspect identified,
1732f0ad78d83af4c8485da47b4ad56b377c69cd4a0e8d3a8e55103317c5baf2,2019-02,Cleveland Police,Cleveland Police,-1.240068,54.711354,On or near Fulthorp Avenue,E01011954,Hartlepool 001A,Burglary,Investigation complete; no suspect identified,
352f533a4ba8bbb1df769d5640e54dd5c587b8d96012a0c394f0e477ec6a0c66,2019-02,Cleveland Police,Cleveland Police,-1.251568,54.718157,On or near Hartville Road,E01011970,Hartlepool 001C,Burglary,Investigation complete; no suspect identified,
5bdc2743ac609d580fe8324c83bd22714869649ac8191e4e9fb9546e42a07f44,2019-02,Cleveland Police,Cleveland Police,-1.23444,54.703581,On or near Dean Fall Close,E01033467,Hartlepool 001G,Burglary,Investigation complete; no suspect identified,
04a0a3cbb4c1aca8424a6d9f96fb8dc183ac3fcdb7c65a919d0918eadcd160ae,2019-02,Cleveland Police,Cleveland Police,-1.241754,54.704184,On or near Dewberry Close,E01033467,Hartlepool 001G,Burglary,Investigation complete; no suspect identified,
f0bdbed4fc21a9a9b1ce09b9ace019d572b4b11198b5c6ed74e0547b1c854124,2019-02,Cleveland Police,Cleveland Police,-1.227875,54.706119,On or near Davison Drive,E01011953,Hartlepool 002B,Burglary,Unable to prosecute suspect,
7ed5ab9c22823d8ba0d1b87d2a09e987595e154f4530a3ae37841c8368930f14,2019-02,Cleveland Police,Cleveland Police,-1.214276,54.699057,On or near Stonethwaite Close,E01011992,Hartlepool 002D,Burglary,Unable to prosecute suspect,
add74cca282fd9223e6a0a7c076ee4c13fdba9e7fda3f50c92b58a47fc98cb49,2019-02,Cleveland Police,Cleveland Police,-1.214807,54.706906,On or near Police Station,E01011992,Hartlepool 002D,Burglary,Court result unavailable,
568c8a80d63f523a5cf65ead891d13fc5452ea97855084f4800d37ea425e104a,2019-02,Cleveland Police,Cleveland Police,-1.187828,54.699431,On or near Vollum Rise,E01011993,Hartlepool 002E,Burglary,Investigation complete; no suspect identified,
f070e4e9dde6a42be960c60c8ced3f75132c84cce131c1466a7986c3c2356e5d,2019-02,Cleveland Police,Cleveland Police,-1.188843,54.70066,On or near Corporation Road,E01011993,Hartlepool 002E,Burglary,Investigation complete; no suspect identified,
a8b4e92a72f90ad668441ceea716eeabe2e5e33cb868f559bfa745e574ba9f53,2019-02,Cleveland Police,Cleveland Police,-1.208449,54.703495,On or near Romanby Close,E01011994,Hartlepool 002F,Burglary,Investigation complete; no suspect identified,
7f119137020291e07cc0bff3ab883ea696dc2ded8a62720d73951b8d9b38b6c1,2019-02,Cleveland Police,Cleveland Police,-1.210205,54.702563,On or near Otterpool Close,E01011994,Hartlepool 002F,Burglary,Investigation complete; no suspect identified,
6f84efe42c060acdb678217de84c2431b6fbfcf62cb637a9294a6e0116959588,2019-02,Cleveland Police,Cleveland Police,-1.215856,54.696003,On or near Milbank Road,E01011955,Hartlepool 003A,Burglary,Unable to prosecute suspect,
a61c745ba811e50005b3917ffe750879d1708adcff38f6806534a18c2807dc12,2019-02,Cleveland Police,Cleveland Police,-1.2157,54.693621,On or near Brougham Terrace,E01011955,Hartlepool 003A,Burglary,Investigation complete; no suspect identified,
0696ef16761c763608d99b5eed5b76b4d867f827c9fa46af24cc3a914651df98,2019-02,Cleveland Police,Cleveland Police,-1.212936,54.692138,On or near Hospital,E01011955,Hartlepool 003A,Burglary,Investigation complete; no suspect identified,
186f3b8b102701afa2007b5d9fff55bcf32df14862c9126e042f04aad4b73db0,2019-02,Cleveland Police,Cleveland Police,-1.22322,54.693049,On or near Chester Road,E01011957,Hartlepool 003C,Burglary,Investigation complete; no suspect identified,
76020f1f0ff5f0c1a350cba4652c59977872989f90d16c2a12e42cf23ac7010b,2019-02,Cleveland Police,Cleveland Police,-1.240986,54.69628,On or near Tiverton Grove,E01032541,Hartlepool 003H,Burglary,Unable to prosecute suspect,
